车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
5431,"[1, 10)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",2
5432,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",60
5433,"[0, 1)","[0, 1)","[1, 5)","[10, 20)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",37
5434,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",60
5435,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",44
5436,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[30, 45)","[25, 35)","[64, 72)",60
5437,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[84, inf)",38
5438,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",49
5439,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[35, 45)","[64, 72)",58
5440,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",27
5441,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[1200, 2400)","[30, 45)","[35, 45)","[64, 72)",18
5442,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",80
5443,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[72, 84)",58
5444,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",82
5445,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",75
5446,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",80
5447,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",82
5448,"[0, 1)","[0, 1)","[5, 15)","[10, 20)","[2400, 4000)","[45, 80)","[120, inf)","[56, 64)",67
5449,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",81
5450,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[600, 1200)","[0, 10)","[45, 55)","[64, 72)",76
5451,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",62
5452,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",26
5453,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",86
5454,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",82
5455,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",73
5456,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",9
5457,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",91
5458,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[20, 30)","[120, inf)","[84, inf)",51
5459,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",69
5460,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",53
5461,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[0, 56)",80
5462,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",58
5463,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",53
5464,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",75
5465,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",60
5466,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",57
5467,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",58
5468,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",90
5469,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",55
5470,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[1200, 2400)","[30, 45)","[75, 120)","[72, 84)",18
5471,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",69
5472,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[56, 64)",12
5473,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",69
5474,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",35
5475,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[10000, inf)","[140, inf)","[120, inf)","[72, 84)",22
5476,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[120, inf)","[0, 56)",66
5477,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[120, inf)","[84, inf)",53
5478,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[64, 72)",90
5479,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[45, 80)","[75, 120)","[84, inf)",37
