车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
1,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",80
2,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[10, 20)","[120, inf)","[56, 64)",35
3,"[0, 1)","[0, 1)","[5, 15)","[1, 10)","[2400, 4000)","[80, 140)","[120, inf)","[0, 56)",26
4,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",75
5,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",76
6,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[56, 64)",80
7,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[15, 25)","[0, 56)",70
8,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",87
9,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",49
10,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",86
11,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",88
12,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",83
13,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",48
14,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",67
15,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[84, inf)",55
16,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[35, 45)","[72, 84)",13
17,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",77
18,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",33
19,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[45, 80)","[75, 120)","[84, inf)",29
20,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[600, 1200)","[0, 10)","[35, 45)","[72, 84)",67
21,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",77
22,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",80
23,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[64, 72)",66
24,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[25, 35)","[0, 56)",10
25,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",35
26,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[2400, 4000)","[30, 45)","[75, 120)","[72, 84)",37
27,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",83
28,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[64, 72)",11
29,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",78
30,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",87
31,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[56, 64)",72
32,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",49
33,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[84, inf)",55
34,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",58
35,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[15, 25)","[64, 72)",53
36,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",40
37,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",47
38,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[30, 45)","[35, 45)","[56, 64)",79
39,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",59
40,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",44
41,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[45, 80)","[25, 35)","[0, 56)",67
42,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",49
43,"[1, 10)","[12, 20)","[5, 15)","[20, inf)","[1200, 2400)","[30, 45)","[45, 55)","[72, 84)",23
44,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",80
45,"[1, 10)","[12, 20)","[5, 15)","[1, 10)","[4000, 10000)","[30, 45)","[120, inf)","[84, inf)",17
46,"[0, 1)","[20, inf)","[1, 5)","[0, 1)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",9
47,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",58
48,"[0, 1)","[0, 1)","[15, inf)","[10, 20)","[1200, 2400)","[20, 30)","[35, 45)","[56, 64)",30
49,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",10
50,"[0, 1)","[20, inf)","[5, 15)","[1, 10)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",26
51,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",46
52,"[0, 1)","[1, 12)","[1, 5)","[20, inf)","[2400, 4000)","[20, 30)","[75, 120)","[72, 84)",51
53,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[64, 72)",48
54,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",38
55,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[10000, inf)","[140, inf)","[120, inf)","[84, inf)",5
56,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[72, 84)",86
57,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[84, inf)",42
58,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",44
59,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",39
60,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",49
61,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",59
62,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[35, 45)","[84, inf)",49
63,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[0, 10)","[15, 25)","[64, 72)",23
64,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[56, 64)",45
65,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",47
66,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",48
67,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",93
68,"[0, 1)","[1, 12)","[1, 5)","[10, 20)","[2400, 4000)","[45, 80)","[75, 120)","[64, 72)",50
69,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[64, 72)",43
70,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[84, inf)",51
71,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",30
72,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",30
73,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[55, 75)","[72, 84)",80
74,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[45, 55)","[64, 72)",26
75,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",61
76,"[0, 1)","[20, inf)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[35, 45)","[72, 84)",36
77,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",57
78,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",6
79,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[30, 45)","[25, 35)","[72, 84)",64
80,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",28
81,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",52
82,"[1, 10)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",33
83,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",68
84,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",80
85,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[2400, 4000)","[30, 45)","[120, inf)","[72, 84)",55
86,"[0, 1)","[20, inf)","[5, 15)","[20, inf)","[1200, 2400)","[20, 30)","[25, 35)","[84, inf)",55
87,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[72, 84)",64
88,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",29
89,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[35, 45)","[72, 84)",91
90,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",62
91,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",75
92,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[2400, 4000)","[30, 45)","[55, 75)","[72, 84)",44
93,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[55, 75)","[72, 84)",58
94,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",79
95,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",62
96,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",49
97,"[0, 1)","[12, 20)","[5, 15)","[10, 20)","[2400, 4000)","[30, 45)","[55, 75)","[72, 84)",12
98,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",46
99,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[1200, 2400)","[20, 30)","[25, 35)","[64, 72)",91
100,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",88
101,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[72, 84)",35
102,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",48
103,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[56, 64)",47
104,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",46
105,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",64
106,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[45, 55)","[72, 84)",60
107,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[35, 45)","[56, 64)",17
108,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[0, 56)",81
109,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[600, 1200)","[20, 30)","[75, 120)","[0, 56)",33
110,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[2400, 4000)","[45, 80)","[120, inf)","[84, inf)",36
111,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",83
112,"[0, 1)","[20, inf)","[15, inf)","[20, inf)","[10000, inf)","[80, 140)","[120, inf)","[84, inf)",15
113,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",66
114,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",43
115,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[72, 84)",30
116,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[84, inf)",90
117,"[0, 1)","[12, 20)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[84, inf)",19
118,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",63
119,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[45, 55)","[72, 84)",60
120,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",81
121,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",30
122,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",35
123,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",86
124,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[64, 72)",43
125,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[30, 45)","[120, inf)","[64, 72)",72
126,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[0, 56)",49
127,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",61
128,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[2400, 4000)","[45, 80)","[25, 35)","[64, 72)",52
129,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",59
130,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[0, 10)","[120, inf)","[72, 84)",34
131,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",85
132,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",84
133,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",92
134,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[2400, 4000)","[30, 45)","[25, 35)","[84, inf)",11
135,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",80
136,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[4000, 10000)","[45, 80)","[120, inf)","[84, inf)",30
137,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",28
138,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",72
139,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",58
140,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[1200, 2400)","[30, 45)","[0, 15)","[64, 72)",64
141,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",51
142,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
143,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[600, 1200)","[20, 30)","[120, inf)","[0, 56)",64
144,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[45, 80)","[120, inf)","[64, 72)",12
145,"[0, 1)","[12, 20)","[15, inf)","[0, 1)","[4000, 10000)","[80, 140)","[55, 75)","[72, 84)",39
146,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",36
147,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",56
148,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[2400, 4000)","[30, 45)","[25, 35)","[72, 84)",59
149,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",34
150,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",60
151,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",29
152,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",55
153,"[0, 1)","[1, 12)","[15, inf)","[1, 10)","[4000, 10000)","[45, 80)","[25, 35)","[72, 84)",49
154,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[55, 75)","[56, 64)",22
155,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[84, inf)",63
156,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",55
157,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",82
158,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[72, 84)",30
159,"[0, 1)","[0, 1)","[1, 5)","[1, 10)","[0, 600)","[140, inf)","[35, 45)","[0, 56)",88
160,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",47
161,"[0, 1)","[1, 12)","[5, 15)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[0, 56)",6
162,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",79
163,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",27
164,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[64, 72)",30
165,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[56, 64)",90
166,"[1, 10)","[0, 1)","[15, inf)","[0, 1)","[10000, inf)","[140, inf)","[75, 120)","[64, 72)",4
167,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",48
168,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",80
169,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[84, inf)",58
170,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[600, 1200)","[0, 10)","[75, 120)","[56, 64)",69
171,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[45, 55)","[56, 64)",47
172,"[0, 1)","[12, 20)","[5, 15)","[20, inf)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",27
173,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[55, 75)","[56, 64)",50
174,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[55, 75)","[72, 84)",61
175,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",90
176,"[0, 1)","[20, inf)","[5, 15)","[20, inf)","[4000, 10000)","[80, 140)","[15, 25)","[72, 84)",30
177,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",82
178,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[84, inf)",23
179,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[10, 20)","[55, 75)","[84, inf)",58
180,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[64, 72)",49
181,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[64, 72)",83
182,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[0, 10)","[55, 75)","[84, inf)",52
183,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",81
184,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[0, 56)",47
185,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",55
186,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",64
187,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",48
188,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[1200, 2400)","[10, 20)","[120, inf)","[72, 84)",31
189,"[0, 1)","[1, 12)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[84, inf)",48
190,"[0, 1)","[0, 1)","[0, 1)","[1, 10)","[0, 600)","[0, 10)","[75, 120)","[72, 84)",74
191,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[600, 1200)","[0, 10)","[45, 55)","[84, inf)",64
192,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[84, inf)",57
193,"[0, 1)","[1, 12)","[5, 15)","[10, 20)","[4000, 10000)","[80, 140)","[120, inf)","[84, inf)",27
194,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",91
195,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[20, 30)","[120, inf)","[0, 56)",36
196,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[84, inf)",69
197,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",65
198,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",82
199,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",49
200,"[0, 1)","[1, 12)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[56, 64)",8
201,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",90
202,"[0, 1)","[20, inf)","[1, 5)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[72, 84)",30
203,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[35, 45)","[56, 64)",86
204,"[0, 1)","[0, 1)","[15, inf)","[1, 10)","[4000, 10000)","[80, 140)","[75, 120)","[56, 64)",60
205,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",48
206,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",83
207,"[0, 1)","[1, 12)","[15, inf)","[0, 1)","[600, 1200)","[10, 20)","[0, 15)","[72, 84)",56
208,"[0, 1)","[1, 12)","[5, 15)","[0, 1)","[600, 1200)","[0, 10)","[45, 55)","[72, 84)",51
209,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[56, 64)",48
210,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[0, 56)",47
211,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[0, 56)",49
212,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[1200, 2400)","[20, 30)","[75, 120)","[64, 72)",77
213,"[0, 1)","[0, 1)","[15, inf)","[0, 1)","[1200, 2400)","[10, 20)","[15, 25)","[64, 72)",92
214,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[2400, 4000)","[45, 80)","[35, 45)","[56, 64)",24
215,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[600, 1200)","[10, 20)","[75, 120)","[72, 84)",64
216,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[64, 72)",41
217,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[120, inf)","[64, 72)",20
218,"[0, 1)","[20, inf)","[5, 15)","[0, 1)","[10000, inf)","[140, inf)","[35, 45)","[84, inf)",12
219,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",47
220,"[0, 1)","[0, 1)","[15, inf)","[20, inf)","[10000, inf)","[140, inf)","[120, inf)","[0, 56)",8
221,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[56, 64)",90
222,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",58
223,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[84, inf)",26
224,"[0, 1)","[20, inf)","[5, 15)","[10, 20)","[10000, inf)","[140, inf)","[120, inf)","[84, inf)",14
225,"[0, 1)","[0, 1)","[5, 15)","[0, 1)","[4000, 10000)","[80, 140)","[75, 120)","[64, 72)",59
